                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8807,                 2.7731,                 1.4808,                0.32407,                0.46509,                0.29981,                0.12585,                 2.0599,                 3.6519,                 1.1809,             0.00066351,             0.00066351,             0.00066351
                      1,                 1.7731,                 1.5656,                 1.4641,                0.55511,                   0.48,                0.42853,                0.15889,                 2.1633,                 2.0424,                 1.2353,               0.001317,               0.001317,               0.001317
                      2,                 1.7479,                 1.2859,                 1.4574,                0.48015,                0.37871,                0.39903,                0.16024,                 2.1247,                  3.085,                    1.2,              0.0019573,              0.0019573,              0.0019573
                      3,                 1.7375,                 1.1487,                 1.4598,                0.46277,                0.36181,                0.32036,                0.11559,                 2.2779,                 2.3845,                 1.2794,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.7075,                 1.0736,                 1.4587,                0.69028,                   0.52,                0.56309,                0.22889,                 2.1974,                 1.9115,                 1.1914,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6749,                0.97627,                 1.4246,                0.79918,                   0.54,                0.59341,                0.24281,                 2.1044,                 1.3863,                  1.146,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.645,                0.93527,                 1.4092,                0.59222,                0.56641,                0.52347,                0.22198,                 2.0625,                 1.5826,                 1.1541,               0.001901,               0.001901,               0.001901
                      7,                 1.6434,                0.92391,                 1.4095,                0.53046,                0.47452,                0.43851,                0.19053,                 1.9531,                 1.8354,                 1.1271,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.6214,                0.87142,                  1.398,                0.67931,                   0.57,                 0.6296,                0.24055,                 2.3195,                 1.4538,                 1.2887,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5961,                0.85285,                 1.3811,                0.51207,                   0.67,                  0.497,                0.19547,                 2.2468,                 1.8339,                 1.2537,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.5828,                0.82974,                 1.3674,                0.42572,                   0.46,                0.40209,                0.17325,                 2.0284,                 1.8806,                 1.1108,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.5584,                 0.8168,                 1.3571,                0.42867,                   0.36,                0.39758,                0.12343,                 2.2319,                  1.829,                 1.2273,               0.001802,               0.001802,               0.001802
                     12,                  1.559,                0.79371,                 1.3595,                0.54031,                   0.44,                0.42986,                0.15834,                 2.0574,                 1.8964,                 1.1141,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5483,                0.77194,                  1.355,                 0.7904,                   0.49,                0.60029,                0.24494,                 2.0736,                 1.5595,                 1.1702,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.5443,                0.76416,                 1.3507,                0.59113,                0.69397,                 0.6165,                0.22311,                 2.1848,                 1.4347,                 1.2097,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5417,                0.76412,                 1.3426,                 0.2233,                   0.22,                0.12015,                0.05116,                 2.0872,                 2.9882,                 1.1684,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.5239,                0.75138,                 1.3383,                0.30693,                0.46057,                0.34102,                0.15804,                 1.9408,                 1.9502,                 1.0995,               0.001703,               0.001703,               0.001703
                     17,                 1.5239,                0.74567,                 1.3348,                0.45913,                0.40748,                0.32222,                 0.1412,                 2.1506,                 1.9271,                 1.1852,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.4943,                0.72184,                 1.3172,                 0.5155,                    0.6,                0.43011,                0.18139,                  1.932,                 1.4633,                 1.1186,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.4991,                0.72044,                 1.3223,                0.70296,                0.70998,                0.66472,                0.27979,                 1.9646,                 1.2127,                  1.111,              0.0016436,              0.0016436,              0.0016436
                     20,                  1.502,                0.71453,                 1.3239,                 0.6146,                0.68575,                0.57564,                 0.2709,                 1.8291,                 1.5642,                 1.0861,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.4863,                0.70748,                 1.3186,                0.75445,                   0.87,                0.77994,                0.33309,                 2.0337,                 1.0514,                  1.133,               0.001604,               0.001604,               0.001604
                     22,                 1.5014,                0.70944,                 1.3192,                0.81835,                   0.71,                0.79859,                0.36661,                 1.8757,                   1.02,                 1.0925,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.4774,                 0.6817,                 1.3104,                0.61503,                   0.71,                0.65789,                0.31571,                 1.8092,                 1.2413,                 1.0647,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.4848,                0.69035,                 1.3119,                0.57122,                   0.65,                0.53083,                0.20118,                 2.0828,                 1.4231,                 1.1635,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.4787,                0.67381,                 1.3083,                0.71635,                   0.85,                0.78303,                0.38243,                 1.7649,                 1.0419,                 1.0448,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.4517,                0.67029,                 1.2927,                0.65197,                0.54328,                0.53387,                0.24389,                 1.7533,                 1.5687,                 1.0358,               0.001505,               0.001505,               0.001505
                     27,                 1.4554,                0.66217,                 1.2957,                0.65246,                0.78851,                0.71572,                0.27471,                 2.0619,                 1.2444,                 1.1563,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.4658,                0.66518,                 1.2985,                0.63268,                   0.69,                0.71242,                0.26487,                 2.0959,                  1.385,                 1.1766,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.4228,                0.64914,                   1.28,                 0.7372,                   0.75,                0.73848,                0.28698,                 2.1941,                 1.4311,                 1.1792,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.4534,                0.64631,                  1.295,                0.72215,                   0.87,                0.84107,                0.35722,                  1.997,                 1.0192,                 1.1419,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.4446,                0.64538,                 1.2805,                0.67627,                   0.77,                0.71521,                0.34159,                 1.8721,                 1.3416,                 1.0907,               0.001406,               0.001406,               0.001406
                     32,                 1.4427,                0.63212,                 1.2775,                0.77197,                   0.74,                0.78786,                0.39398,                 1.8021,                 1.0784,                 1.0613,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.4443,                0.64585,                 1.2994,                0.74523,                   0.83,                0.77265,                0.33743,                 1.8301,                 1.0662,                 1.0715,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.4213,                0.63167,                 1.2655,                0.73318,                   0.83,                 0.7718,                0.35378,                 1.9572,                 1.1192,                 1.1313,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.4353,                0.63503,                 1.2726,                0.69086,                    0.8,                0.74938,                0.36571,                 1.8606,                 1.1706,                 1.0764,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4121,                0.62631,                  1.258,                0.72523,                0.79185,                0.74307,                 0.2947,                 2.0178,                 1.1414,                 1.1497,               0.001307,               0.001307,               0.001307
                     37,                 1.4062,                0.61629,                 1.2657,                0.73624,                0.80949,                0.73792,                0.32101,                 1.9077,                0.96266,                 1.1109,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.4095,                0.61922,                 1.2635,                 0.7482,                   0.89,                0.80209,                0.38274,                 1.8388,                0.92247,                 1.0785,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.4092,                0.61657,                 1.2636,                 0.6968,                0.78138,                0.73298,                0.35136,                 1.8003,                 1.1385,                 1.0705,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3903,                 0.6062,                 1.2456,                0.71021,                   0.72,                0.75978,                0.33607,                 1.8724,                 1.1543,                 1.1019,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.391,                0.60468,                 1.2546,                0.74985,                   0.86,                0.84855,                0.37733,                 1.8871,                 1.0775,                  1.106,               0.001208,               0.001208,               0.001208
                     42,                 1.3847,                0.60574,                  1.254,                0.62666,                0.72179,                0.67027,                0.30103,                 1.9131,                 1.2276,                 1.1007,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.408,                0.59723,                 1.2638,                0.73321,                   0.79,                0.75123,                0.36909,                 1.7578,                  1.032,                 1.0413,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3907,                0.58952,                 1.2475,                0.75431,                0.79827,                0.73981,                0.36001,                 1.7955,                 1.0088,                 1.0534,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3843,                0.58499,                 1.2496,                0.85698,                   0.66,                0.71752,                0.31784,                 1.8961,                  1.289,                 1.1016,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3712,                0.59295,                 1.2555,                0.71393,                   0.77,                0.73272,                0.31677,                  1.928,                 1.2256,                 1.1282,               0.001109,               0.001109,               0.001109
                     47,                 1.3727,                0.58799,                 1.2462,                0.74012,                 0.8259,                0.70884,                0.32272,                 1.8912,                 1.0638,                  1.072,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.3771,                0.58545,                 1.2539,                0.75677,                0.77784,                0.65458,                0.29527,                 1.8499,                 1.2864,                 1.0562,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3743,                0.58667,                 1.2413,                0.68213,                0.81546,                  0.697,                0.32915,                 1.7914,                 1.0817,                 1.0635,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.3442,                0.56806,                 1.2288,                0.71748,                0.81266,                0.69723,                0.31437,                 1.9308,                 1.1376,                 1.0857,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3641,                 0.5727,                 1.2444,                0.66017,                   0.59,                0.55696,                0.25227,                 1.8673,                 1.5835,                 1.0749,                0.00101,                0.00101,                0.00101
                     52,                 1.3577,                0.57654,                 1.2451,                0.68379,                   0.76,                0.66603,                0.28876,                 1.8782,                 1.4459,                 1.0817,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.3429,                0.56286,                 1.2342,                 0.6857,                    0.7,                0.66176,                0.30895,                 1.8744,                 1.3136,                 1.0724,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.3355,                 0.5644,                 1.2299,                0.69138,                   0.83,                0.71713,                0.36115,                 1.8095,                 1.0873,                 1.0489,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.3403,                0.56948,                 1.2299,                0.53312,                   0.74,                0.48408,                0.23742,                 1.7593,                 1.3597,                   1.05,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3474,                0.56574,                 1.2365,                0.67584,                   0.71,                0.63452,                0.29637,                 1.8785,                 1.4298,                 1.0655,               0.000911,               0.000911,               0.000911
                     57,                  1.336,                0.55521,                 1.2278,                0.69316,                   0.83,                0.74401,                0.37344,                 1.7713,                 1.0509,                 1.0298,              0.0008912,              0.0008912,              0.0008912
                     58,                  1.333,                0.55479,                 1.2231,                0.62093,                    0.7,                0.61249,                0.29133,                 1.8681,                 1.3713,                 1.0665,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.3324,                0.55161,                 1.2298,                0.76765,                   0.72,                 0.7292,                0.35381,                 1.8113,                 1.0852,                 1.0536,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.3241,                 0.5478,                 1.2189,                0.75214,                0.69797,                0.70902,                0.33428,                 1.9224,                 1.2219,                 1.0843,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.3308,                0.54946,                 1.2309,                0.82019,                   0.78,                0.76705,                0.38566,                 1.7168,                 1.1165,                 1.0233,               0.000812,               0.000812,               0.000812
                     62,                 1.3257,                0.54582,                 1.2301,                0.75286,                0.42652,                0.47803,                0.22979,                 1.8929,                 2.0952,                  1.058,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.3242,                0.54891,                 1.2213,                0.78069,                   0.76,                0.73742,                0.35875,                 1.8384,                 1.0911,                 1.0603,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.3089,                0.54347,                 1.2153,                0.73835,                   0.68,                0.68162,                0.33059,                 1.7997,                 1.1942,                 1.0528,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.2971,                0.53237,                 1.2007,                0.73458,                   0.77,                0.67902,                0.34383,                 1.7503,                 1.1557,                 1.0259,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.2977,                0.53476,                 1.2043,                0.69515,                   0.65,                0.62974,                0.29809,                 1.8685,                 1.2911,                 1.0506,               0.000713,               0.000713,               0.000713
                     67,                 1.3077,                0.53278,                 1.2202,                0.64605,                   0.75,                0.61665,                0.27251,                 1.9085,                 1.2087,                 1.0919,              0.0006932,              0.0006932,              0.0006932
                     68,                  1.301,                0.53449,                 1.2154,                0.73601,                   0.63,                0.64531,                0.29627,                 1.8561,                  1.248,                 1.0701,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.2866,                0.52572,                 1.2027,                   0.78,                   0.73,                0.73523,                0.34119,                  1.906,                 1.0775,                 1.0883,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.2919,                0.52507,                 1.2047,                0.79272,                    0.8,                 0.7184,                0.33558,                 1.8697,                  1.067,                 1.0785,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2834,                0.52355,                 1.2022,                0.77649,                   0.74,                0.67997,                 0.3302,                 1.8284,                 1.1258,                 1.0639,               0.000614,               0.000614,               0.000614
                     72,                 1.2934,                0.51801,                 1.2079,                0.74009,                   0.74,                0.72322,                0.33262,                 1.8768,                 1.1221,                 1.0788,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.2903,                0.52345,                 1.1998,                0.75116,                0.69432,                0.67075,                0.31957,                 1.8561,                 1.1328,                 1.0717,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.2755,                0.51184,                  1.201,                0.78076,                0.81909,                0.77191,                0.37681,                 1.8901,                0.98468,                 1.0769,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.2756,                0.50958,                 1.2051,                0.70476,                   0.85,                0.75488,                0.38002,                  1.769,                 1.0643,                  1.036,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.2668,                0.50875,                 1.1962,                0.69361,                0.76969,                0.69828,                0.33892,                 1.8322,                 1.1251,                 1.0696,               0.000515,               0.000515,               0.000515
                     77,                 1.2785,                0.51463,                 1.2001,                0.65493,                   0.61,                 0.6002,                0.27817,                 1.8743,                 1.3446,                 1.0863,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.2663,                0.50434,                 1.2024,                0.73222,                   0.74,                0.69054,                0.33086,                 1.8186,                 1.1206,                 1.0731,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.2628,                0.50661,                 1.1931,                0.73478,                   0.71,                0.64485,                0.30946,                 1.9004,                 1.2265,                 1.1114,              0.0004556,              0.0004556,              0.0004556
                     80,                  1.256,                0.50781,                 1.1883,                0.81258,                   0.74,                 0.7465,                0.35603,                 1.8042,                  1.086,                 1.0499,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.2513,                0.49886,                 1.1779,                0.74876,                   0.82,                0.73884,                0.34554,                 1.8007,                 1.0372,                 1.0704,               0.000416,               0.000416,               0.000416
                     82,                 1.2416,                0.49301,                 1.1791,                0.74686,                   0.78,                0.71904,                0.33172,                 1.9087,                 1.1169,                 1.0913,              0.0003962,              0.0003962,              0.0003962
